2023-07-01,00:00,30472.626774556975,30661.651723176514,30322.062192711528,30585.986645151974,26087.496956629857
2023-07-02,00:00,30586.060446395706,30790.30588286068,30161.268784204272,30617.04430071466,35877.74236536722
2023-07-03,00:00,30617.181599797037,31379.999922656025,30570.005044164984,31156.5283505302,62884.776128222285
2023-07-04,00:00,31156.765660293146,31342.141160333995,30620.55118985575,30766.441168227382,49096.03246795459
2023-07-05,00:00,30766.564565671062,30877.864410219903,30199.57851377424,30504.591128690452,49262.1957965647
2023-07-06,00:00,30504.219583139155,31506.21852759595,29852.35002774199,29895.410039375605,102824.83096630088
2023-07-07,00:00,29895.137240847936,30449.70060647438,29700.36704542356,30344.20444225714,53999.52133108887
2023-07-08,00:00,30344.21094189432,30387.10356512172,30046.245275446392,30285.072761258885,21502.490258982823
2023-07-09,00:00,30285.076922667366,30445.4362567249,30063.486447090698,30161.47922141947,25368.43386234952
2023-07-10,00:00,30161.598476369763,31044.07269923688,29950.819582470886,30411.97202921951,65094.19982043075
2023-07-11,00:00,30412.05805285686,30813.23452836984,30301.75210185048,30622.136881655042,45560.57907376349
2023-07-12,00:00,30622.09872232143,30980.837151417352,30211.132818389262,30380.800001895463,57991.57666570542
2023-07-13,00:00,30380.71139029725,31815.20406515776,30251.64197614144,31454.010809913845,103214.53153836189
2023-07-14,00:00,31454.028492404832,31628.34548115071,29901.27266986879,30311.913385095067,88457.66918762964
2023-07-15,00:00,30311.92137160624,30391.204313583345,30211.908730177536,30289.32699284437,20752.23798997395
2023-07-16,00:00,30289.273835986016,30440.29069361414,30064.547954585014,30231.984456800325,25661.65796252533
2023-07-17,00:00,30232.032432742733,30336.168485084414,29659.113480997556,30138.153899163262,48013.3714530939
2023-07-18,00:00,30138.40539782528,30239.75752788866,29514.17453582619,29859.53215152299,47921.830953977165
2023-07-19,00:00,29859.22810848536,30189.27988223264,29761.955283664473,29908.8425150796,42332.42954069492
2023-07-20,00:00,29909.089509637863,30417.448520581813,29571.230130670516,29801.38459956895,58959.81746872318
2023-07-21,00:00,29801.90300801215,30061.62007470486,29726.658820645418,29901.35540453958,37762.34447204714
2023-07-22,00:00,29901.440576119094,29998.644710517503,29625.7312648221,29792.404751656624,22349.403311948012
2023-07-23,00:00,29792.490804332618,30349.436676329304,29730.436786632843,30083.626327832928,30000.974723603038
2023-07-24,00:00,30083.695877768925,30098.763125145793,28863.09641599774,29177.06840076838,61692.57812907852
2023-07-25,00:00,29176.97682399272,29375.502309411237,29048.59932823978,29229.075441501864,33375.110218581984
2023-07-26,00:00,29229.131708098346,29686.53901821358,29097.579273488747,29351.4907669733,53115.1685538006
2023-07-27,00:00,29351.498034472224,29567.60110966733,29084.44285339982,29222.667984236836,35647.877148994856
2023-07-28,00:00,29222.610431207548,29541.876048153452,29125.014895870307,29314.642872381442,37756.366992341034
2023-07-29,00:00,29314.618172596543,29406.11788350658,29256.18927088983,29353.24435747012,17401.73585458159
2023-07-30,00:00,29353.334157676534,29449.11286213804,29032.540978309884,29280.718295506438,26457.88984124081
2023-07-31,00:00,29280.89673517177,29528.828125627348,29095.647207291855,29232.67717702386,38427.01084668497
2023-08-01,00:00,29232.682594966995,29737.272602546152,28582.676828623244,29706.255243187392,72378.61475202635
2023-08-02,00:00,29706.554993367277,30044.252803758845,28931.13598160071,29184.62943845691,75928.42090695695
2023-08-03,00:00,29182.73855723827,29420.48491415544,28971.667434412488,29195.628766514943,49468.003548843226
2023-08-04,00:00,29195.792571325237,29328.908114246333,28823.43993760208,29113.49337896208,45252.120487938824
2023-08-05,00:00,29112.82494691053,29146.45700212505,28980.203324998085,29073.49360794767,23235.14956539465
2023-08-06,00:00,29073.525658049126,29199.816825196205,28993.328959301376,29089.31661107399,26669.79048231745
2023-08-07,00:00,29089.017070425514,29275.267859434785,28701.60713002907,29211.55446989183,56124.50369266364
2023-08-08,00:00,29211.80340893209,30236.425942597354,29146.68358724947,29771.166261020804,75600.89813684438
2023-08-09,00:00,29770.93807909784,30150.247731449374,29378.577331443936,29581.42099799341,63550.637245409045
2023-08-10,00:00,29581.497420358595,29736.440866942397,29329.052040901748,29455.995603104027,44652.9823857838
2023-08-11,00:00,29455.69378500226,29562.6291156963,29253.172307339384,29426.979513447783,36225.0159079867
2023-08-12,00:00,29426.352449853737,29480.64948243486,29379.533035927256,29430.69955987951,18408.02505002202
2023-08-13,00:00,29430.644649051024,29473.191951975376,29273.34851383898,29303.872292131335,21709.59301439797
2023-08-14,00:00,29303.41998969083,29694.20746084541,29103.493267541548,29431.41386777297,52701.018821014215
2023-08-15,00:00,29431.186265719298,29497.976167485784,29065.704959316354,29200.293926722457,46151.05495705741
2023-08-16,00:00,29200.20138254819,29260.149779294297,28724.190928702203,28730.84861777727,55030.02897267406
2023-08-17,00:00,28731.23618543611,28783.737267144268,25044.567614593965,26624.34115927321,157147.50818935683
2023-08-18,00:00,26623.45830912363,26830.574597302406,25620.55287307915,26053.715519801975,111046.87608167928
2023-08-19,00:00,26053.50406212646,26278.40609102429,25802.618653015208,26099.82079764663,44281.75548258441
2023-08-20,00:00,26100.62887241132,26298.925814049922,25974.417302855618,26189.143630675346,34885.59954474782
2023-08-21,00:00,26189.244575614117,26251.31051409217,25811.613123770603,26125.766970928922,56068.10922058263
2023-08-22,00:00,26126.487793073156,26139.234897444603,25316.869416557063,26054.802574918634,64085.6035019946
2023-08-23,00:00,26056.09764983345,26818.32475293321,25813.737315621383,26433.128271669055,75928.44382318905
2023-08-24,00:00,26432.584077877294,26576.635546691272,25874.604505258085,26179.47382624603,55063.22034737973
2023-08-25,00:00,26178.940739290818,26310.3303043189,25780.3334808902,26059.60196582686,55205.53732052453
2023-08-26,00:00,26059.625086803855,26120.36691091665,25984.393635833127,26018.388895957036,21604.12303529675
2023-08-27,00:00,26018.11565277134,26181.082254566252,25967.06846145516,26100.196172173866,25421.062238147882
2023-08-28,00:00,26100.671933552403,26251.119552414057,25865.375587223054,26120.03670896243,46378.76646576348
2023-08-29,00:00,26120.117839961003,28140.745542076365,25923.47865758793,27717.671782665406,129687.23146574516
2023-08-30,00:00,27717.68271133547,27766.592645132456,27016.813946227383,27299.73008696247,77773.06442541737
2023-08-31,00:00,27299.927197921963,27582.176275217327,25655.237744402584,25940.205418107078,112277.8092535066
2023-09-01,00:00,25940.073312817825,26158.241036665506,25335.363432664417,25805.60783499337,100368.43932540128
2023-09-02,00:00,25805.751821958387,25986.19125382951,25753.867177840333,25869.422565107565,44833.15657263423
2023-09-03,00:00,25869.72798199112,26132.445860649786,25800.87754420517,25971.187279729063,49337.04270423962
2023-09-04,00:00,25971.756116348846,26105.20244050493,25632.771105912227,25825.57789511575,43619.4278553496
2023-09-05,00:00,25825.48818685633,25910.21482988816,25564.24696918196,25791.96557142592,36569.34914669893
2023-09-06,00:00,25792.058877383795,26040.197499954545,25373.994920310877,25760.4287893954,52093.18740635987
2023-09-07,00:00,25760.42533250133,26441.211622788313,25617.05846513525,26254.367411731742,49497.39413107666
2023-09-08,00:00,26255.20085672754,26444.76788814512,25648.72165788867,25909.76442720355,49010.9376804068
2023-09-09,00:00,25909.910042811545,25944.82777286693,25798.845169312943,25901.622482172366,18139.987560429963
2023-09-10,00:00,25901.764881147486,26031.998062515555,25571.853945583,25842.368814879777,32257.264188224926
2023-09-11,00:00,25842.431111319613,25900.841629834522,24902.423727457874,25163.878858565688,71800.35810367549
2023-09-12,00:00,25163.722686944944,26560.889564020486,25132.86829513934,25839.88769182081,96297.561281059
2023-09-13,00:00,25839.819482956165,26405.63922159181,25764.152219368814,26221.388839603045,55439.71787525272
2023-09-14,00:00,26221.610003418984,26860.837518278302,26126.827083512137,26523.422040432946,62364.70836006044
2023-09-15,00:00,26523.570632814717,26886.251856720268,26224.043306115673,26601.105763800915,44050.0254296545
2023-09-16,00:00,26601.688165898107,26775.464233431783,26445.55126113521,26559.60952626465,23168.455937730778
2023-09-17,00:00,26559.876380054207,26621.87447693586,26398.84449462313,26527.34900068584,20502.27905154229
2023-09-18,00:00,26527.49554363244,27404.608426285755,26379.1184148515,26762.447692208556,69946.33447257327
2023-09-19,00:00,26771.440706429305,27483.773018283806,26675.755659500963,27208.924180988404,60632.878424816714
